+0.032 +9.77085015e-01 +5.89460032e+00 +7.91406176e+00 +1.47698604e+01 +1.95848812e+01 +7.54409941e+01 +4.93807455e+00 +6.94342549e+00 +1.38404827e+01 +1.87644417e+01 +1.86455232e+00 +6.80258561e+00 +8.85707521e+00 +1.56354684e+01
+0.033 +9.75657115e-01 +5.88802910e+00 +7.90866468e+00 +1.47555931e+01 +1.95600905e+01 +7.54065558e+01 +4.93419119e+00 +6.93986036e+00 +1.38305329e+01 +1.87499655e+01 +1.85662272e+00 +6.79052711e+00 +8.84819657e+00 +1.56133197e+01
+0.034 +9.74188553e-01 +5.88127033e+00 +7.90310870e+00 +1.47409286e+01 +1.95347199e+01 +7.53711831e+01 +4.93019421e+00 +6.93618877e+00 +1.38202985e+01 +1.87351012e+01 +1.84852499e+00 +6.77815381e+00 +8.83906826e+00 +1.55906070e+01
+0.035 +9.72679616e-01 +5.87432529e+00 +7.89739446e+00 +1.47258704e+01 +1.95087840e+01 +7.53348865e+01 +4.92608413e+00 +6.93241100e+00 +1.38097815e+01 +1.87198536e+01 +1.84026477e+00 +6.76547035e+00 +8.82969230e+00 +1.55673398e+01
+0.036 +9.71130599e-01 +5.86719531e+00 +7.89152260e+00 +1.47104223e+01 +1.94822975e+01 +7.52976765e+01 +4.92186148e+00 +6.92852735e+00 +1.37989837e+01 +1.87042275e+01 +1.83184770e+00 +6.75248140e+00 +8.82007074e+00 +1.55435280e+01
+0.037 +9.69541803e-01 +5.85988173e+00 +7.88549381e+00 +1.46945879e+01 +1.94552754e+01 +7.52595640e+01 +4.91752680e+00 +6.92453813e+00 +1.37879073e+01 +1.86882279e+01 +1.82327944e+00 +6.73919175e+00 +8.81020568e+00 +1.55191813e+01
+0.038 +9.67913535e-01 +5.85238592e+00 +7.87930876e+00 +1.46783713e+01 +1.94277324e+01 +7.52205599e+01 +4.91308067e+00 +6.92044365e+00 +1.37765542e+01 +1.86718599e+01 +1.81456563e+00 +6.72560620e+00 +8.80009927e+00 +1.54943098e+01
+0.039 +9.66246111e-01 +5.84470930e+00 +7.87296817e+00 +1.46617764e+01 +1.93996838e+01 +7.51806753e+01 +4.90852366e+00 +6.91624424e+00 +1.37649266e+01 +1.86551286e+01 +1.80571190e+00 +6.71172964e+00 +8.78975369e+00 +1.54689236e+01
+0.040 +9.64539851e-01 +5.83685330e+00 +7.86647274e+00 +1.46448071e+01 +1.93711446e+01 +7.51399215e+01 +4.90385636e+00 +6.91194022e+00 +1.37530265e+01 +1.86380392e+01 +1.79672386e+00 +6.69756702e+00 +8.77917114e+00 +1.54430329e+01
+0.041 +9.62795082e-01 +5.82881939e+00 +7.85982323e+00 +1.46274675e+01 +1.93421301e+01 +7.50983098e+01 +4.89907936e+00 +6.90753193e+00 +1.37408561e+01 +1.86205970e+01 +1.78760710e+00 +6.68312331e+00 +8.76835389e+00 +1.54166479e+01
+0.042 +9.61012140e-01 +5.82060907e+00 +7.85302037e+00 +1.46097620e+01 +1.93126554e+01 +7.50558518e+01 +4.89419330e+00 +6.90301971e+00 +1.37284177e+01 +1.86028073e+01 +1.77836716e+00 +6.66840355e+00 +8.75730421e+00 +1.53897790e+01
